He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2011/05/male-episode-1-with-alan1.mp3, HeStutters, 0
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/04/male-episode-10-with-landon.mp3, HeStutters, 1
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/05/male-episode-11-with-frank.mp3, HeStutters, 2
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/05/male-episode-12-with-lott1.mp3, HeStutters, 3
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/06/male-episode-13-with-juan-ali.mp3, HeStutters, 4
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/08/male-episode-14-with-grant.mp3, HeStutters, 5
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/08/male-episode-15-with-hanan.mp3, HeStutters, 6
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/09/male-episode-16-with-geoff.mp3, HeStutters, 7
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/09/male-episode-17-with-robert.mp3, HeStutters, 8
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/11/male-episode-18-with-ray.mp3, HeStutters, 9
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/11/male-episode-19-with-john-h.mp3, HeStutters, 10
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2011/07/male-episode-2-with-henryk.mp3, HeStutters, 11
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2014/02/male-episode-20-with-oli.mp3, HeStutters, 12
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2014/08/male-episode-21-with-dylan.mp3, HeStutters, 13
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2016/09/male-episode-22-w-chaz.mp3, HeStutters, 14
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2017/06/male-episode-23-with-ian.mp3, HeStutters, 15
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2018/09/male-episode-24-with-david-a.mp3, HeStutters, 16
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2018/09/male-episode-25-with-rob.mp3, HeStutters, 17
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2018/11/male-episode-26-with-andy-fitz.mp3, HeStutters, 18
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2020/04/male-episode-27-with-chris-c.mp3, HeStutters, 19
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2011/10/male-episode-3-with-vivek.mp3, HeStutters, 20
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/01/male-episode-4-with-joseph.mp3, HeStutters, 21
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/02/male-episode-5-with-john-p.mp3, HeStutters, 22
He_Stutters_Podcast_–_Make_Room_For_The_Stuttering, episode-208-with-kelsey-h, https://stutterrockstar.files.wordpress.com/2012/02/male-episode-6-with-zachary.mp3, HeStutters, 23
Hudson_Valley_Stuttering_Association, 682StutterTalk, https://anchor.fm/s/184c5dac/podcast/play/11473227/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2020-2-24%2F58674976-44100-2-ba93934fac3dc.m4a, HVSA, 0
Hudson_Valley_Stuttering_Association, 682StutterTalk, https://anchor.fm/s/184c5dac/podcast/play/11621505/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-2-27%2F59502673-44100-1-de0884dbdac71.m4a, HVSA, 1
Hudson_Valley_Stuttering_Association, 682StutterTalk, https://anchor.fm/s/184c5dac/podcast/play/11637529/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-3-17%2F65403420-44100-1-480bdf97d2168.m4a, HVSA, 2
Hudson_Valley_Stuttering_Association, 682StutterTalk, https://anchor.fm/s/184c5dac/podcast/play/12739266/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2020-3-21%2F66491576-44100-1-ea58f77ddd263.m4a, HVSA, 3
I_Stutter_So_What, episode-137-with-autumn, http://istuttersowhat.com/podcast/ISSW007final.mp3, IStutterSoWhat, 0
I_Stutter_So_What, episode-137-with-autumn, http://istuttersowhat.com/podcast/ISSWPodcast001.mp3, IStutterSoWhat, 1
I_Stutter_So_What, episode-137-with-autumn, http://istuttersowhat.com/podcast/ISSWPodcast003-MikeLapot.mp3, IStutterSoWhat, 2
I_Stutter_So_What, episode-137-with-autumn, http://istuttersowhat.com/podcast/ISSWPodcast004-the-walk.mp3, IStutterSoWhat, 3
I_Stutter_So_What, episode-137-with-autumn, http://istuttersowhat.com/podcast/ISSWPodcast005.mp3, IStutterSoWhat, 4
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/1_Tip_Final_Podcast.mp3?dest-id=1660175, MyStutteringLife, 0
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/A-Parent-s-Perspective-On-Stut-858691a75e012.m4a?dest-id=1660175, MyStutteringLife, 1
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/AdamWright_Final_Episode2.mp3?dest-id=1660175, MyStutteringLife, 2
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Andrew_Simpson_Final_Podcast2.mp3?dest-id=1660175, MyStutteringLife, 3
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Callum_Schofield_Final_Podcast_Interview.mp3?dest-id=1660175, MyStutteringLife, 4
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Cynthia_Zmrocek_final.mp3?dest-id=1660175, MyStutteringLife, 5
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Evan-Sherman--SLP-7f31356581b4e.m4a?dest-id=1660175, MyStutteringLife, 6
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Final_Gal_Zussman_for_Libsyn.mp3?dest-id=1660175, MyStutteringLife, 7
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Hakim_Erwin_Podcast_Interview.mp3?dest-id=1660175, MyStutteringLife, 8
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Hugo-Torres---Language-and-Com-e7a8e5ec468a7.m4a?dest-id=1660175, MyStutteringLife, 9
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/In-the-Beginning-6c5ad406487d29537363311966d56b0c.m4a?dest-id=1660175, MyStutteringLife, 10
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/It-Really-Does-Work---f507694368126.m4a?dest-id=1660175, MyStutteringLife, 11
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Jack_Dinsley_Podcast_Interview.mp3?dest-id=1660175, MyStutteringLife, 12
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Jaleesa-Bygrave-32463d904feed.m4a?dest-id=1660175, MyStutteringLife, 13
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/James-Hayden---Tedx-Speaker----c61828ed03aa.m4a?dest-id=1660175, MyStutteringLife, 14
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Jared_Glickfield_Interview.mp3?dest-id=1660175, MyStutteringLife, 15
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Jason_Nunez_Final_Podcast.mp3?dest-id=1660175, MyStutteringLife, 16
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/LeRon-Barton---Author-and-Tedx-e1dd1b17397ec.m4a?dest-id=1660175, MyStutteringLife, 17
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Matt_Herman_Podcast_Interview.mp3?dest-id=1660175, MyStutteringLife, 18
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Michaela_Misske_Maia_Podcast_Interview.mp3?dest-id=1660175, MyStutteringLife, 19
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Nic-513a5a5fdb391.m4a?dest-id=1660175, MyStutteringLife, 20
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Rama-Siva---Author-and-Believe-fa2c1426a8ecf.m4a?dest-id=1660175, MyStutteringLife, 21
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Roy-Johnson-ef1c45683c008.m4a?dest-id=1660175, MyStutteringLife, 22
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Sherrika_Meyers_Podcast_Interview_Final2.mp3?dest-id=1660175, MyStutteringLife, 23
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Strike-1--Strike-2--Strike-3-bdb9ea7b85a9f.m4a?dest-id=1660175, MyStutteringLife, 24
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Stuttering---Dating-a7bc436740b51.m4a?dest-id=1660175, MyStutteringLife, 25
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Stuttering---S-G-A-ca3bbb051ad38.m4a?dest-id=1660175, MyStutteringLife, 26
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Stuttering--Comparing-Yoursel-d9878cc4b4dbeabcf17bca8ac944c01c.m4a?dest-id=1660175, MyStutteringLife, 27
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Stuttering--Daily-Wins-dc679fc34876d2608693744930e9916d.m4a?dest-id=1660175, MyStutteringLife, 28
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Stuttering--Exhaustion-b6c1b8398a19d8233f6ef78d967ca8a4.m4a?dest-id=1660175, MyStutteringLife, 29
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Stuttering--Having-A-Good-Sup-5fcd2434048a1d89814ae47f27262256.m4a?dest-id=1660175, MyStutteringLife, 30
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Stuttering--the-5-Second-Rule-814d7a4352a1914e80a84096d55d340c.m4a?dest-id=1660175, MyStutteringLife, 31
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Stuttering--the-Magic-Pill-0175066e072a81b372a158ad1aedbc47.m4a?dest-id=1660175, MyStutteringLife, 32
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Talking-To-The-Man-In-The-Mirr-b8ed833119e34.m4a?dest-id=1660175, MyStutteringLife, 33
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/The-Card-You-Need-d4d6af5eb5ae.m4a?dest-id=1660175, MyStutteringLife, 34
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/The-Journey-Of-A-Stutterer-Fro-52b1d1c58293f.m4a?dest-id=1660175, MyStutteringLife, 35
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/The-Wanderer-8654d99ae8dfd.m4a?dest-id=1660175, MyStutteringLife, 36
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Vampire-Crabs-af4efc29c6e9d.m4a?dest-id=1660175, MyStutteringLife, 37
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Vicky_G_Final_Episode.mp3?dest-id=1660175, MyStutteringLife, 38
My_Stuttering_Life, episode-175-with-rachel-hoge-second-time, https://traffic.libsyn.com/secure/mystutteringlife/Will_McClurg_Podcast_Final.mp3?dest-id=1660175, MyStutteringLife, 39
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/393268140-user-709642316-episode-1-pilot.mp3, StrongVoices, 0
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/407179179-user-709642316-episode-3-dont-let-anything-get-in-the-way-with-denis-wright.mp3, StrongVoices, 1
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/413976822-user-709642316-episode-4-totally-transformed-with-monica-shanahan.mp3, StrongVoices, 2
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/420675876-user-709642316-bonus-episode-1-stuttering-research-with-tatiana-izmaylova.mp3, StrongVoices, 3
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/421724238-user-709642316-svpodcast-ep-5.mp3, StrongVoices, 4
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/428515275-user-709642316-episode-6-the-martial-art-of-speaking-with-kate-salkeld.mp3, StrongVoices, 5
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/435397359-user-709642316-episode-7-with-tom-deblaere.mp3, StrongVoices, 6
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/442534920-user-709642316-episode-8-self-acceptance-and-eloquence-with-noel-kumar.mp3, StrongVoices, 7
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/451194234-user-709642316-episode-9-then-versus-now-with-kristy-warden.mp3, StrongVoices, 8
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/462134433-user-709642316-episode-11-it-all-adds-up-with-strong-technique-with-marcel-conway.mp3, StrongVoices, 9
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/468076068-user-709642316-episode-12-success-with-many-voices-with-yasmeen-hassan.mp3, StrongVoices, 10
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/481363221-user-709642316-episode-13-stay-chilled-and-enjoy-speaking-with-phil-jeffrey.mp3, StrongVoices, 11
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/494066280-user-709642316-episode-15-accessibility-and-the-future-with-ross-mullen.mp3, StrongVoices, 12
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/500204031-user-709642316-episode-16-the-best-of-me-with-scott-monson.mp3, StrongVoices, 13
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/506871492-user-709642316-episode-17-the-hexagon-and-its-application-with-scott-monson.mp3, StrongVoices, 14
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/514061178-user-709642316-episode-18-a-journey-begun-with-anthony-steed.mp3, StrongVoices, 15
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/520973022-user-709642316-episode-19-the-abc-of-everything-with-scott-monson.mp3, StrongVoices, 16
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/528397401-user-709642316-episode-20-goals-achieved-more-to-explore-with-freddie-westhuizen.mp3, StrongVoices, 17
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/547557738-user-709642316-episode-24-2018-in-review-with-your-hosts.mp3, StrongVoices, 18
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/569330349-user-709642316-episode-25-part-1-with-mike-wilson.mp3, StrongVoices, 19
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/576628695-user-709642316-episode-26-part-2-with-mike-wilson.mp3, StrongVoices, 20
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/591248463-user-709642316-episode-28-part-1-with-ankur-aryaa-and-eugene-barannikov.mp3, StrongVoices, 21
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/598593423-user-709642316-episode-29-part-2-with-ankur-aryaa-and-eugene-barannikov.mp3, StrongVoices, 22
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/606220788-user-709642316-episode-30-with-todd-wheldon.mp3, StrongVoices, 23
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/612122499-user-709642316-episode-31-moving-forward-with-katy-johnson.mp3, StrongVoices, 24
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/619339989-user-709642316-episode-32-with-martin-bates.mp3, StrongVoices, 25
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/625233042-user-709642316-episode-33-with-jhoney-ekladious.mp3, StrongVoices, 26
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/632551599-user-709642316-episode-34-with-peter-wise.mp3, StrongVoices, 27
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/668349341-user-709642316-episode-35-ride-the-wave-with-riley-cadman.mp3, StrongVoices, 28
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/710943172-user-709642316-svpodcast-ep37.mp3, StrongVoices, 29
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/714010465-user-709642316-episode-38-life-love-and-relationships-part-2-with-alex-cowan-and-kate.mp3, StrongVoices, 30
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/722540014-user-709642316-episode-40-its-never-to-late-to-be-a-great-speaker-with-virginia-hortis.mp3, StrongVoices, 31
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/728507386-user-709642316-episode-41-destroy-the-fear-with-kenny-macheka.mp3, StrongVoices, 32
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/730703080-user-709642316-episode-42-there-is-more-to-stuttering-than-stuttering-with-geoff-johnston.mp3, StrongVoices, 33
Strong_Voices_-_overcoming_speaking_challenges, male-episode-11-with-frank, http://feeds.soundcloud.com/stream/746278345-user-709642316-episode-45-goodby-from-your-hosts.mp3, StrongVoices, 34
StutterTalk_Changing_how_you_think_about_stuttering, episode-180-with-petra-a, http://media.blubrry.com/stuttertalk/stuttertalk.com/podcast/572StutterTalk.mp3, StutterTalk, 0
StutterTalk_Changing_how_you_think_about_stuttering, episode-180-with-petra-a, http://media.blubrry.com/stuttertalk/stuttertalk.com/podcast/573StutterTalk.mp3, StutterTalk, 1
StutterTalk_Changing_how_you_think_about_stuttering, episode-180-with-petra-a, http://media.blubrry.com/stuttertalk/stuttertalk.com/podcast/575StutterTalk.mp3, StutterTalk, 2
StutterTalk_Changing_how_you_think_about_stuttering, episode-180-with-petra-a, http://media.blubrry.com/stuttertalk/stuttertalk.com/podcast/577StutterTalk.mp3, StutterTalk, 3
StutterTalk_Changing_how_you_think_about_stuttering, episode-180-with-petra-a, http://media.blubrry.com/stuttertalk/stuttertalk.com/podcast/578StutterTalk.mp3, StutterTalk, 4
StutterTalk_Changing_how_you_think_about_stuttering, episode-180-with-petra-a, http://media.blubrry.com/stuttertalk/stuttertalk.com/podcast/579StutterTalk.mp3, StutterTalk, 5
